제목,리뷰,평점,날짜
신세계,사실 스토리는 뻔하다. 그런데 배우들의 연기가 기가 막히고 이야기를 풀어나가는 연출력이 훌륭하다. 범죄와의 전쟁과 함께 21세기 최고의 한국 조폭영화 ,9,22.04.19
더 배트맨,너무 지루하다.. 뭔 영화를 3시간이나.미드 떡밥 깔아놓은줄... ,1,22.04.19
경관의 피,뭘 말하고 싶은지 말하고 싶은걸 여러가지 다 억어지로 넣는 듯 한 스토리전개 ,4,22.04.19
죽지않는 인간들의 밤,?b급 감성 병맛개그 킬링타임용으로 가볍게 보려는데도 너무 심하게 노잼이었음. 밑에 공감 가장 많이 받은 글들 참고했어야함.. 댓글 알바가 엄청난듯.. ㄷㄷ 작년에 평점 6점대여서 거른거였는데 엄청 올라있길래 봤다가 당했음..   이걸보기엔 시간이 너무 아까움. ,1,22.04.19
프라미싱 영 우먼,슬프고 복수심이 나에게도 생기는 현실의 이야기.성 인지 교육을 남녀 모두 배워야 한다.여자가 취했다고 손대는 놈들은 거세시키자 ,8,22.04.19
더 배트맨,신선하지만 서운하긴하다 ,6,22.04.19
살인소설,평점대비 재밌는편이에요. 크게 지루함 없고 뻔한 클리쉐도 아니면서 반전도 적절히 있고. 킬링타임용 찾으면 추천합니다 ,8,22.04.19
점퍼,정말 아무생각 없이 본다면 킬링타임의 목적은 달성. 여러모로 곳곳에서 부족함이 느껴지는 영화지만 그렇다고 아예 재미없는 영화는 또 아님 ,6,22.04.19
캐치 미 이프 유 캔,다 좋았어요 다시 보고 싶은 영화 ,10,22.04.19
침묵,결말에 감동이 많습니다 ,8,22.04.19
캐치 미 이프 유 캔,아이가 바라보는 가족의 시점 ,10,22.04.19
울지마 톤즈 2 : 슈크란 바바,주님 감사합니다 사랑합니다 ,10,22.04.19
알라딘,30년이지나 다시봐도 역대최고의 애니... ,10,22.04.19
야차,노잼 ,6,22.04.19
신비한 동물들과 덤블도어의 비밀,해리포터 시리즈는 그냥 무조건 보는데…여기에도 중국 자본이 들어간건가… 그 점이 아쉽다 ,8,22.04.19
올드,영화 상영시간만큼 의미없이 늙어버렸다 ,2,22.04.19
모비우스,너무너무너무 재미있어요 꼭 보세요 ,10,22.04.19
사냥의 시간,왜 평점이 낮은지 개연성이 없다고 이야기 하는지 이해 안됨;;개연성 개 있는데;; 어디가 개연성이 없는거지? 디스토피아적인 내용이 공감되지 않아서 그런가? 어디가 개연성이 없는거지;;;;????나 아메바인듯;;;;이해가 안됨;; ,10,22.04.19
일대일,관객이 되신 당신들은 나는 누구인가?를 찾고 있습니까? 나는 등장 인물들이 내가 아는 누구일까? 그렇게 찾았다.가장 위험한 마동석은 김기덕 자신일까?위험한 영웅이면서 숭고한 전사자라고 믿고 있을지도 모를 일이다. 위험한 신념이 한 가족을 모살 시키기도 하고 위험한 신념이 신들린 사이코패스를 한나라의 지도자로 탄생시키기도 한다. 그래서 신념은 다 팽기치고 신념을 위한 신념을 가지기도 한다. 그러나 신념은 늘 흔들려 그 중의 어느 누가 되기도 한다는 고백인가? 그 고백일지도 모르겠다. 늘 그랬듯이 그의 영화의 뒷맛은 어지럽고 더럽다. 왜 일인 다역이었나는 생각하기도 귀찮아서 생각하지 않기로 정했다. ,5,22.04.19
변신,개연성은 떨어지나 킬링타임 하긴 좋았네요 ,6,22.04.19
나비 효과 2,아니이게뭐야ㅡㅡ 장난치나 ,1,22.04.19
블랙 위도우,액션감이 생각보다 좀 떨어짐. 스토리도 좀 빈약하고 ,7,22.04.19
이상한 나라의 수학자,"꼬마 천재 테이트 영화에서 꼬마 테이트가 엄마역의 조디 포스터에게 미립자였나? 그런 대사를 하는데 비슷한 내용이 이 영화에서도 나오고, 뷰티플 마인드에서 학자에게 존경의 의미로 만년필을 선물한다는 장면 그리고 여인의 향기에서 알파치노가 소위 배경 좋은 부모를 둔 반 친구들의 악행을 뒤집어 쓰고 퇴학의 위기를 맞은 학생의 진실을 학교 강단에서 밝히는 장면 등은 정말로 비슷하다.그러나 배우들의 연기는 멋지게 관람했다. ",4,22.04.19
더 배트맨,크리스토퍼성님 + 베일성님 배트맨이 역대최고 였구나 ㄷㄷ ,6,22.04.19
루이스 웨인: 사랑을 그린 고양이 화가,영화 좋네요 ㅎㅎㅎㅋ 굿!! ,8,22.04.19
배트맨,기존 히어로물과 전혀 다른 현실적임 색달랐다 몰입도 높음 평점이 왜 9점이 안넘는지 의문.. ,10,22.04.19
극장판 주술회전 0,친구 끊어줬는데 재미있다네요 ,8,22.04.19
수퍼 소닉2,게임원작 영화답게 게임속 연출을 많이 넣었다. ,6,22.04.19
롱 리브 더 킹: 목포 영웅,삼류 영화같음 이걸왜보나 싶었음 ,6,22.04.19
나부야 나부야,,10,22.04.19
신비한 동물들과 덤블도어의 비밀,해리포터를 좋아하고 사랑하지 않고 영화를 관람하지 않은사람들에게는 어려울수도 이해가 안갈수도 재미없을수도있지만 해리포터를 사랑하는 한 사람으로서는 이번 영화는 매우만족이다..마법세계에 다시한번 빠져들었고 더불어 동물들ㅇㅔ게도 빠져든… 작가의 상상력..정말 존경스럽고 그걸 기가막힌 영상으로 연출해준 감독도 너무나 대단하다.. 해리포터의 세계관을 더 이해할수 있어 행복했고 다음편도 빨리 나오기만을 기다려진다.. 케릭터 하나하나가 다 매력적이고 그 케릭들을 연기한 배우들도 너무 잘  표현한것같다 지루할 틈이 없는 영화였다 ,10,22.04.19
시간 여행자의 아내,예전에 보고 이번에 또 봤는데 그래도 신박한 내용에 여운까지 돋아요. 넘 재미있게 봤습니다! ,10,22.04.19
야차,"개인적으로 평점 잘 안남기는데 총을 쏘는데 전부뭉쳐서 다니는것부터 감독님이 미필이신가 싶었고 인물이 등장하는데 왜 나와야 하는지 개연성이떨어지고, 폭탄이 터지면 맞춰서 튕기거나 점프하려는 액션 다 보이고, 왜 일본 스파이 명단을 북한해외자본담당이 다 갖고있는지도 모르겠고 너무뻔한 캐릭터들, 많이 본듯한 뻔한 장면, 설명부족뭐 더 할말이 많으면서 없네요 ",1,22.04.19
밤과 낮,"박은혜가 진짜 조오오오오온나 이쁨. 너무나 러블리하게 나옴. 근데 막판에 개불쌍하네 ㅠㅠ근데 김영호가 정상이 아님;;;자기 도와주려는 사장이 지 이력서 갖고 있는게 싫다고 이력서 도로 가져가질 않나갑자기 상대 동의도 없이 반말하더니 너랑 자고 싶다고 하질 않나약국에서 말 안통하고 여자 많다고 콘돔 안사오는게 말이 되나 ㅋㅋㅋ연기도 뭔가 어색하고...캐릭터 자체가 좀 또라이인듯 ㅋㅋㅋ마지막에 꿈에서 도자기 떨궈서 깼다고 OO하는건 진짜 거의 싸이코패스 수준이던데...어떻게 저런 발상이 가능한건지... 감독님이 독특한건지 캐릭터가 독특한건지...암튼 김영호가 전생에 나라를 구했나, 천년에 한명 날까말까한 역대급 미녀 2명(박은혜, 황수정)과 키스신이라니... 여러모로 대박인 작품이네여 . 아참 황수정도 조오오온나 러블리하게 나옴. ",6,22.04.19
기억의 밤,초중반까지는 재미있게 봤는데 결말이....어이가없네~~? ,2,22.04.19
1987,제 인생 최고 영화입니다. ,10,22.04.19
내일의 기억,"김강우 배우님, 자주 좀 봬요~~ ",8,22.04.19
M,좋음 다시생각나는영화 ,10,22.04.19
말임씨를 부탁해,처연하도록 무겁고 아름다운 우리네 현실 ,10,22.04.19
추즈 오어 다이,킬링타임용으로 충분히 볼만함 중간에 좀 루즈 하지만 깔끔한 마무리로 속편이 기대됨 ,10,22.04.19
신비한 동물들과 덤블도어의 비밀,나름 볼만하긴 했는데 스토리 전개가 좀 급하다는 느낌이 들었어요.. 그래도 좋아하는 시리즈라 꼭 후속편 볼 수 있으면 좋겠네요 ,10,22.04.19
극락도 살인사건,지역비하 댓글이 과반이라 한심해서 쓰는 평지금의 경상도 이미지 누가 망쳤을까? ,8,22.04.19
떼시스,젖비린내 나는 애들은 평점 쓰지좀 마라 이 영화는 스너프를 소재로 한 최초의 걸작 영화다 손에 땀을 쥐면서 토요명화로 봤었지 ,10,22.04.19
신비한 동물들과 덤블도어의 비밀,4dx관에서 봐서 안 자고 버틸 수 있었다. 4편 뽑아 낼려고 어거지로 만든 영화라는게 확 느껴짐. ,1,22.04.19
문폴,"유치/노잼/미국의 지구 구하기 망작. 그러니깐 달까지 만든 고대 인류가 못이긴 ai를 미국이 이긴다는거쥐? 하여간, 허리우드식 유치뽕작 지구 구하기의 끝은 어디인가? 근데, 마지막에 2편 떡밥? 감독 보고 안봤어야 했는데~ㅋ 평점은 역시나~ㅎ ",1,22.04.19
야차,,10,22.04.19
스텔라,코믹하지만 뭔가 가슴 뭉클한 감동까지 느끼게되는 그런 영화네요 ,10,22.04.19
날씨의 아이,책을 읽고 영화를 본다면  대사 하나하나가 더 아름답게 느껴 집니다 ,10,22.04.19
